,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
23,,M600 Spitfire,0,0,5,-,0%,0h 0m 10s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
24,,R-301 Carbine,0,183,124,15,12.1%,0h 4m 14s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
25,,Mozambique Shotgun,0,0,-,-,-,0h 0m 4s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
26,,HAVOC Rifle,0,0,8,-,0%,0h 0m 4s,Onmuu 100T,Y3-Split2 ALGS-Playoffs
0,,R-301 Carbine,8,6107,3028,479,15.82%,1h 10m 55s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
1,,Prowler Burst PDW,7,2805,1004,194,19.32%,0h 14m 5s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
2,,Thermite Grenade,4,548,-,154,-,0h 0m 0s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
3,,VK-47 Flatline,4,391,86,25,29.07%,0h 4m 23s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
4,,C.A.R. SMG,3,857,563,69,12.26%,0h 7m 5s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
5,,Volt SMG,3,1784,755,124,16.42%,0h 19m 52s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
6,,Charge Rifle,3,4959,288,-,-,0h 41m 25s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
7,,Alternator SMG,2,504,239,32,13.39%,0h 2m 48s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
8,,Wingman,2,734,117,18,15.38%,0h 16m 26s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
9,,30-30 Repeater,2,3321,437,79,18.08%,0h 38m 53s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
10,,Kraber .50-Cal Sniper,2,490,14,4,28.57%,0h 4m 49s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
11,,Nemesis Burst AR,1,789,445,49,11.01%,0h 17m 42s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
12,,Frag Grenade,1,257,-,7,-,0h 0m 0s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
13,,R-99 SMG,1,1167,379,105,27.7%,0h 5m 1s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
14,,Sentinel,1,648,29,8,27.59%,0h 10m 16s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
15,,Mozambique Shotgun,0,0,-,-,-,0h 0m 5s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
16,,Mastiff Shotgun,0,0,8,-,-,0h 0m 2s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
17,,EVA-8 Auto,0,77,-,-,-,0h 0m 13s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
18,,P2020,0,0,-,-,NAN%,0h 0m 25s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
19,,RE-45 Auto,0,161,81,12,14.81%,0h 1m 0s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
20,,Peacekeeper,0,0,9,-,-,0h 0m 10s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
21,,Arc Star,0,337,-,10,-,0h 0m 0s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
22,,HAVOC Rifle,0,182,73,10,13.7%,0h 2m 7s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
23,,Devotion LMG,0,0,-,-,NAN%,0h 0m 2s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
24,,L-STAR EMG,0,161,-,8,-,0h 0m 0s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
25,,G7 Scout,0,556,217,15,6.91%,0h 11m 1s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
26,,Longbow DMR,0,600,33,11,33.33%,0h 7m 54s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
27,,Hemlok Burst AR,0,334,-,14,-,0h 0m 0s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
28,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 2s,EzFlashKIDZ HVND,Y3-Split2 ALGS-Playoffs
0,,VK-47 Flatline,3,805,358,49,13.69%,0h 7m 15s,noiises JL,Y3-Split2 ALGS-Playoffs
1,,Prowler Burst PDW,3,1501,416,104,25%,0h 8m 58s,noiises JL,Y3-Split2 ALGS-Playoffs
2,,Charge Rifle,1,2115,156,-,-,0h 19m 45s,noiises JL,Y3-Split2 ALGS-Playoffs
3,,C.A.R. SMG,0,530,361,43,11.91%,0h 17m 45s,noiises JL,Y3-Split2 ALGS-Playoffs
4,,Mozambique Shotgun,0,223,22,-,-,0h 1m 39s,noiises JL,Y3-Split2 ALGS-Playoffs
5,,Longbow DMR,0,264,25,5,20%,0h 3m 4s,noiises JL,Y3-Split2 ALGS-Playoffs
6,,30-30 Repeater,0,803,108,17,15.74%,0h 7m 40s,noiises JL,Y3-Split2 ALGS-Playoffs
7,,Frag Grenade,0,396,-,11,-,0h 0m 0s,noiises JL,Y3-Split2 ALGS-Playoffs
8,,R-301 Carbine,0,382,210,29,13.81%,0h 12m 32s,noiises JL,Y3-Split2 ALGS-Playoffs
9,,HAVOC Rifle,0,0,49,-,0%,0h 0m 26s,noiises JL,Y3-Split2 ALGS-Playoffs
10,,P2020,0,0,2,-,0%,0h 0m 7s,noiises JL,Y3-Split2 ALGS-Playoffs
11,,G7 Scout,0,0,27,-,0%,0h 1m 2s,noiises JL,Y3-Split2 ALGS-Playoffs
12,,Mastiff Shotgun,0,213,6,-,-,0h 1m 29s,noiises JL,Y3-Split2 ALGS-Playoffs
13,,RE-45 Auto,0,30,19,3,15.79%,0h 0m 18s,noiises JL,Y3-Split2 ALGS-Playoffs
14,,Nemesis Burst AR,0,860,364,62,17.03%,0h 16m 31s,noiises JL,Y3-Split2 ALGS-Playoffs
15,,Volt SMG,0,949,369,67,18.16%,0h 16m 33s,noiises JL,Y3-Split2 ALGS-Playoffs
16,,Wingman,0,0,13,-,0%,0h 0m 7s,noiises JL,Y3-Split2 ALGS-Playoffs
17,,EVA-8 Auto,0,0,5,-,-,0h 0m 16s,noiises JL,Y3-Split2 ALGS-Playoffs
18,,Alternator SMG,0,105,129,7,5.43%,0h 2m 2s,noiises JL,Y3-Split2 ALGS-Playoffs
19,,Peacekeeper,0,247,11,-,-,0h 2m 7s,noiises JL,Y3-Split2 ALGS-Playoffs
20,,Devotion LMG,0,0,77,-,0%,0h 0m 30s,noiises JL,Y3-Split2 ALGS-Playoffs
21,,Thermite Grenade,0,171,-,48,-,0h 0m 0s,noiises JL,Y3-Split2 ALGS-Playoffs
22,,Melee,0,30,-,1,-,0h 0m 0s,noiises JL,Y3-Split2 ALGS-Playoffs
23,,Arc Star,0,69,-,3,-,0h 0m 0s,noiises JL,Y3-Split2 ALGS-Playoffs
24,,M600 Spitfire,0,201,41,12,29.27%,0h 3m 7s,noiises JL,Y3-Split2 ALGS-Playoffs
25,,Triple Take,0,0,2,-,-,0h 0m 12s,noiises JL,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,7,1261,852,93,10.92%,0h 11m 53s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,1,617,140,38,27.14%,0h 3m 41s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
2,,Arc Star,1,367,-,15,-,0h 0m 0s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
3,,R-99 SMG,1,396,123,33,26.83%,0h 2m 15s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
4,,30-30 Repeater,1,401,62,10,16.13%,0h 9m 38s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
5,,Longbow DMR,0,1096,78,19,24.36%,0h 12m 40s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
6,,C.A.R. SMG,0,134,67,13,19.4%,0h 1m 16s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
7,,Peacekeeper,0,0,2,-,-,0h 0m 44s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
8,,EVA-8 Auto,0,0,-,-,-,0h 0m 9s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
9,,Sentinel,0,312,27,3,11.11%,0h 9m 32s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
10,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 2s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
11,,Wingman,0,312,109,8,7.34%,0h 14m 34s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
12,,G7 Scout,0,828,372,28,7.53%,0h 17m 9s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
13,,P2020,0,0,-,-,NAN%,0h 0m 3s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
14,,Charge Rifle,0,3363,278,-,-,0h 45m 21s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
15,,Volt SMG,0,151,77,10,12.99%,0h 1m 3s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
16,,Alternator SMG,0,0,-,-,NAN%,0h 0m 17s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
17,,HAVOC Rifle,0,0,-,-,NAN%,0h 0m 1s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
18,,Triple Take,0,19,13,-,-,0h 0m 30s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
19,,Mastiff Shotgun,0,0,-,-,-,0h 0m 3s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
20,,VK-47 Flatline,0,0,-,-,NAN%,0h 0m 3s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
21,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 6s,brtus_o LNW,Y3-Split2 ALGS-Playoffs
0,,30-30 Repeater,2,664,227,15,6.61%,0h 26m 4s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
1,,C.A.R. SMG,2,430,576,36,6.25%,0h 7m 1s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
2,,Volt SMG,1,274,70,19,27.14%,0h 0m 55s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
3,,Arc Star,1,77,-,3,-,0h 0m 0s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
4,,Prowler Burst PDW,1,1245,400,88,22%,0h 28m 0s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
5,,HAVOC Rifle,1,307,38,18,47.37%,0h 0m 54s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
6,,Peacekeeper,1,241,11,-,-,0h 1m 47s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
7,,G7 Scout,0,1064,303,33,10.89%,0h 16m 20s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
8,,R-301 Carbine,0,0,7,-,0%,0h 0m 7s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
9,,Alternator SMG,0,0,-,-,NAN%,0h 0m 7s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
10,,VK-47 Flatline,0,0,-,-,NAN%,0h 0m 4s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
11,,EVA-8 Auto,0,126,-,-,-,0h 0m 23s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
12,,P2020,0,0,10,-,0%,0h 0m 4s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
13,,RE-45 Auto,0,35,46,3,6.52%,0h 0m 56s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
14,,M600 Spitfire,0,100,44,6,13.64%,0h 0m 31s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
15,,Longbow DMR,0,286,46,5,10.87%,0h 8m 5s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
16,,Mozambique Shotgun,0,0,-,-,-,0h 0m 2s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
17,,Kraber .50-Cal Sniper,0,0,-,-,NAN%,0h 2m 21s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
18,,Triple Take,0,66,12,-,-,0h 4m 11s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
19,,Nemesis Burst AR,0,77,88,5,5.68%,0h 2m 14s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
20,,Sentinel,0,0,-,-,NAN%,0h 0m 2s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
21,,Wingman,0,0,-,-,NAN%,0h 0m 3s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
22,,Mastiff Shotgun,0,0,-,-,-,0h 0m 9s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
23,,Devotion LMG,0,0,-,-,NAN%,0h 0m 2s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
24,,Charge Rifle,0,710,54,-,-,0h 8m 34s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
25,,Frag Grenade,0,3,-,1,-,0h 0m 0s,asleepk1ng ATH,Y3-Split2 ALGS-Playoffs
0,,C.A.R. SMG,3,1900,801,168,20.97%,0h 28m 44s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,3,937,448,90,20.09%,0h 38m 15s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
2,,Prowler Burst PDW,1,686,325,49,15.08%,0h 17m 38s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
3,,Frag Grenade,1,492,-,8,-,0h 0m 0s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
4,,Devotion LMG,1,177,49,12,24.49%,0h 0m 46s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
5,,Longbow DMR,0,292,74,6,8.11%,0h 22m 20s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
6,,RE-45 Auto,0,0,6,-,0%,0h 0m 16s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
7,,Volt SMG,0,163,61,13,21.31%,0h 7m 24s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
8,,Wingman,0,0,5,-,0%,0h 0m 10s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
9,,Triple Take,0,671,60,-,-,0h 12m 33s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
10,,G7 Scout,0,903,234,69,29.49%,0h 18m 45s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
11,,30-30 Repeater,0,1645,311,38,12.22%,0h 45m 58s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
12,,Alternator SMG,0,90,52,6,11.54%,0h 1m 24s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
13,,Arc Star,0,522,-,11,-,0h 0m 0s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
14,,HAVOC Rifle,0,112,40,5,12.5%,0h 0m 40s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
15,,R-99 SMG,0,197,50,18,36%,0h 0m 23s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
16,,R-301 Carbine,0,11,28,1,3.57%,0h 3m 3s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
17,,Mozambique Shotgun,0,0,-,-,-,0h 0m 6s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
18,,EVA-8 Auto,0,0,3,-,-,0h 0m 9s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
19,,VK-47 Flatline,0,0,49,-,0%,0h 1m 39s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
20,,Sentinel,0,457,28,9,32.14%,0h 3m 48s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
21,,Peacekeeper,0,0,-,-,-,0h 0m 8s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
22,,M600 Spitfire,0,31,25,2,8%,0h 1m 59s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
23,,Charge Rifle,0,1338,176,-,-,0h 26m 44s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
24,,P2020,0,0,7,-,0%,0h 0m 6s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
25,,Thermite Grenade,0,49,-,13,-,0h 0m 0s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
26,,Mastiff Shotgun,0,0,-,-,-,0h 0m 2s,KaronPe RLZ,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,15,3139,1063,222,20.88%,0h 45m 17s,Xynew DZ,Y3-Split2 ALGS-Playoffs
1,,G7 Scout,6,3747,1069,130,12.16%,1h 0m 1s,Xynew DZ,Y3-Split2 ALGS-Playoffs
2,,C.A.R. SMG,5,1106,431,90,20.88%,0h 15m 28s,Xynew DZ,Y3-Split2 ALGS-Playoffs
3,,R-99 SMG,4,2233,717,192,26.78%,0h 16m 56s,Xynew DZ,Y3-Split2 ALGS-Playoffs
4,,Nemesis Burst AR,2,2710,1078,167,15.49%,0h 50m 9s,Xynew DZ,Y3-Split2 ALGS-Playoffs
5,,Wingman,2,653,110,16,14.55%,0h 11m 43s,Xynew DZ,Y3-Split2 ALGS-Playoffs
6,,Longbow DMR,2,1323,111,24,21.62%,0h 15m 46s,Xynew DZ,Y3-Split2 ALGS-Playoffs
7,,30-30 Repeater,2,4952,649,112,17.26%,0h 52m 51s,Xynew DZ,Y3-Split2 ALGS-Playoffs
8,,Alternator SMG,2,169,46,11,23.91%,0h 2m 52s,Xynew DZ,Y3-Split2 ALGS-Playoffs
9,,Bocek Compound Bow,2,1323,-,21,-,0h 12m 2s,Xynew DZ,Y3-Split2 ALGS-Playoffs
10,,Volt SMG,1,464,180,32,17.78%,0h 7m 43s,Xynew DZ,Y3-Split2 ALGS-Playoffs
11,,VK-47 Flatline,1,173,103,11,10.68%,0h 11m 1s,Xynew DZ,Y3-Split2 ALGS-Playoffs
12,,Arc Star,1,156,-,9,-,0h 0m 0s,Xynew DZ,Y3-Split2 ALGS-Playoffs
13,,P2020,1,199,34,13,38.24%,0h 1m 9s,Xynew DZ,Y3-Split2 ALGS-Playoffs
14,,Mastiff Shotgun,0,0,-,-,-,0h 0m 22s,Xynew DZ,Y3-Split2 ALGS-Playoffs
15,,M600 Spitfire,0,147,-,9,-,0h 0m 30s,Xynew DZ,Y3-Split2 ALGS-Playoffs
16,,RE-45 Auto,0,0,16,-,0%,0h 1m 2s,Xynew DZ,Y3-Split2 ALGS-Playoffs
17,,Mozambique Shotgun,0,103,8,-,-,0h 0m 36s,Xynew DZ,Y3-Split2 ALGS-Playoffs
18,,HAVOC Rifle,0,0,-,-,NAN%,0h 0m 5s,Xynew DZ,Y3-Split2 ALGS-Playoffs
19,,Triple Take,0,97,4,-,-,0h 0m 56s,Xynew DZ,Y3-Split2 ALGS-Playoffs
20,,Frag Grenade,0,357,-,9,-,0h 0m 0s,Xynew DZ,Y3-Split2 ALGS-Playoffs
21,,Thermite Grenade,0,125,-,35,-,0h 0m 0s,Xynew DZ,Y3-Split2 ALGS-Playoffs
22,,Peacekeeper,0,0,-,-,-,0h 0m 2s,Xynew DZ,Y3-Split2 ALGS-Playoffs
23,,Kraber .50-Cal Sniper,0,0,-,-,NAN%,0h 0m 2s,Xynew DZ,Y3-Split2 ALGS-Playoffs
24,,EVA-8 Auto,0,0,-,-,-,0h 0m 3s,Xynew DZ,Y3-Split2 ALGS-Playoffs
25,,R-301 Carbine,0,0,30,-,0%,0h 0m 12s,Xynew DZ,Y3-Split2 ALGS-Playoffs
26,,Charge Rifle,0,1257,98,-,-,0h 8m 40s,Xynew DZ,Y3-Split2 ALGS-Playoffs
27,,Devotion LMG,0,0,-,-,NAN%,0h 0m 2s,Xynew DZ,Y3-Split2 ALGS-Playoffs
0,,R-99 SMG,16,2665,780,228,29.23%,0h 25m 53s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
1,,Prowler Burst PDW,12,5747,1917,400,20.87%,1h 7m 10s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
2,,Nemesis Burst AR,7,6730,2493,411,16.49%,2h 4m 50s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
3,,Volt SMG,5,571,157,41,26.11%,0h 12m 36s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
4,,VK-47 Flatline,5,2649,1073,144,13.42%,0h 38m 6s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
5,,C.A.R. SMG,3,834,564,70,12.41%,0h 26m 54s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
6,,Frag Grenade,1,118,-,3,-,0h 0m 0s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
7,,Arc Star,1,487,-,17,-,0h 0m 0s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
8,,Hemlok Burst AR,1,1258,-,60,-,0h 0m 0s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
9,,Alternator SMG,0,0,47,-,0%,0h 2m 37s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
10,,Wingman,0,0,-,-,NAN%,0h 0m 13s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
11,,M600 Spitfire,0,0,15,-,0%,0h 0m 47s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
12,,RE-45 Auto,0,0,12,-,0%,0h 1m 10s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
13,,Peacekeeper,0,0,-,-,-,0h 0m 9s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
14,,G7 Scout,0,1228,287,37,12.89%,0h 22m 17s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
15,,R-301 Carbine,0,132,254,25,9.84%,0h 12m 53s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
16,,EVA-8 Auto,0,0,18,-,-,0h 0m 49s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
17,,Mozambique Shotgun,0,0,-,-,-,0h 0m 16s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
18,,HAVOC Rifle,0,39,45,2,4.44%,0h 1m 34s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
19,,P2020,0,0,14,-,0%,0h 0m 6s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
20,,30-30 Repeater,0,1740,226,35,15.49%,0h 36m 32s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
21,,Longbow DMR,0,0,-,-,NAN%,0h 0m 20s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
22,,Triple Take,0,0,8,-,-,0h 0m 17s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
23,,Sentinel,0,0,-,-,NAN%,0h 0m 10s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
24,,Charge Rifle,0,0,-,-,-,0h 0m 2s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
25,,Devotion LMG,0,0,16,-,0%,0h 1m 21s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
26,,Mastiff Shotgun,0,0,-,-,-,0h 0m 8s,Sikezz XSET,Y3-Split2 ALGS-Playoffs
0,,Mastiff Shotgun,8,719,49,-,-,0h 5m 57s,Taida NTH,Y3-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,7,5772,3105,355,11.43%,1h 17m 11s,Taida NTH,Y3-Split2 ALGS-Playoffs
2,,Prowler Burst PDW,3,2554,1796,179,9.97%,0h 19m 7s,Taida NTH,Y3-Split2 ALGS-Playoffs
3,,G7 Scout,2,1121,317,35,11.04%,0h 12m 20s,Taida NTH,Y3-Split2 ALGS-Playoffs
4,,Volt SMG,1,809,791,57,7.21%,0h 11m 10s,Taida NTH,Y3-Split2 ALGS-Playoffs
5,,C.A.R. SMG,1,590,488,46,9.43%,0h 6m 19s,Taida NTH,Y3-Split2 ALGS-Playoffs
6,,Melee,1,34,-,2,-,0h 0m 0s,Taida NTH,Y3-Split2 ALGS-Playoffs
7,,Longbow DMR,1,833,43,15,34.88%,0h 4m 53s,Taida NTH,Y3-Split2 ALGS-Playoffs
8,,Mozambique Shotgun,0,0,-,-,-,0h 0m 13s,Taida NTH,Y3-Split2 ALGS-Playoffs
9,,30-30 Repeater,0,42,14,1,7.14%,0h 1m 8s,Taida NTH,Y3-Split2 ALGS-Playoffs
10,,Peacekeeper,0,129,12,-,-,0h 3m 5s,Taida NTH,Y3-Split2 ALGS-Playoffs
11,,RE-45 Auto,0,0,8,-,0%,0h 0m 6s,Taida NTH,Y3-Split2 ALGS-Playoffs
12,,EVA-8 Auto,0,70,15,-,-,0h 0m 46s,Taida NTH,Y3-Split2 ALGS-Playoffs
13,,Sentinel,0,0,1,-,0%,0h 0m 15s,Taida NTH,Y3-Split2 ALGS-Playoffs
14,,Triple Take,0,0,72,-,-,0h 2m 38s,Taida NTH,Y3-Split2 ALGS-Playoffs
15,,HAVOC Rifle,0,0,74,-,0%,0h 2m 27s,Taida NTH,Y3-Split2 ALGS-Playoffs
16,,Charge Rifle,0,496,28,-,-,0h 2m 40s,Taida NTH,Y3-Split2 ALGS-Playoffs
17,,Kraber .50-Cal Sniper,0,140,-,1,-,0h 0m 41s,Taida NTH,Y3-Split2 ALGS-Playoffs
18,,Alternator SMG,0,0,45,-,0%,0h 0m 51s,Taida NTH,Y3-Split2 ALGS-Playoffs
19,,Arc Star,0,288,-,6,-,0h 0m 0s,Taida NTH,Y3-Split2 ALGS-Playoffs
20,,P2020,0,0,-,-,NAN%,0h 0m 3s,Taida NTH,Y3-Split2 ALGS-Playoffs
21,,Wingman,0,0,-,-,NAN%,0h 0m 5s,Taida NTH,Y3-Split2 ALGS-Playoffs
22,,Thermite Grenade,0,25,-,7,-,0h 0m 0s,Taida NTH,Y3-Split2 ALGS-Playoffs
23,,M600 Spitfire,0,0,198,-,0%,0h 1m 57s,Taida NTH,Y3-Split2 ALGS-Playoffs
24,,Devotion LMG,0,26,86,2,2.33%,0h 5m 9s,Taida NTH,Y3-Split2 ALGS-Playoffs
25,,R-301 Carbine,0,79,75,7,9.33%,0h 1m 40s,Taida NTH,Y3-Split2 ALGS-Playoffs
26,,VK-47 Flatline,0,50,423,3,0.71%,0h 3m 19s,Taida NTH,Y3-Split2 ALGS-Playoffs
27,,Hemlok Burst AR,0,543,-,24,-,0h 0m 0s,Taida NTH,Y3-Split2 ALGS-Playoffs
28,,Frag Grenade,0,162,-,3,-,0h 0m 0s,Taida NTH,Y3-Split2 ALGS-Playoffs
0,,Prowler Burst PDW,16,4449,2149,304,14.15%,0h 47m 30s,Hakis ALL,Y3-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,11,6433,3759,388,10.32%,1h 4m 56s,Hakis ALL,Y3-Split2 ALGS-Playoffs
2,,Triple Take,3,1285,118,-,-,0h 10m 17s,Hakis ALL,Y3-Split2 ALGS-Playoffs
3,,Sentinel,2,1323,86,16,18.6%,0h 16m 21s,Hakis ALL,Y3-Split2 ALGS-Playoffs
4,,L-STAR EMG,2,895,-,42,-,0h 0m 0s,Hakis ALL,Y3-Split2 ALGS-Playoffs
5,,C.A.R. SMG,1,974,627,80,12.76%,0h 16m 21s,Hakis ALL,Y3-Split2 ALGS-Playoffs
6,,Peacekeeper,1,310,26,-,-,0h 4m 15s,Hakis ALL,Y3-Split2 ALGS-Playoffs
7,,R-99 SMG,1,1460,866,124,14.32%,0h 26m 50s,Hakis ALL,Y3-Split2 ALGS-Playoffs
8,,30-30 Repeater,1,1433,239,31,12.97%,0h 14m 39s,Hakis ALL,Y3-Split2 ALGS-Playoffs
9,,Charge Rifle,1,1290,96,-,-,0h 8m 46s,Hakis ALL,Y3-Split2 ALGS-Playoffs
10,,Frag Grenade,0,395,-,10,-,0h 0m 0s,Hakis ALL,Y3-Split2 ALGS-Playoffs
